%time core_I mic_click_I mic_click_I battery
0.248 0.243444444444444 0.12 0.002 0.999999569093618
0.249 0.243444444444444 0.12 0.002 0.999999567451639
0.25 0.243444444444444 0.12 0.002 0.999999565809655
0.251 0.243444444444444 0.12 0.002 0.99999956416767
0.252 0.243444444444444 0.12 0.002 0.999999562525686
0.253 0.243444444444444 0.12 0.002 0.999999560883702
0.254 0.243444444444444 0.12 0.002 0.999999559241717
0.255 0.243444444444444 0.12 0.002 0.999999557599733
0.256 0.243444444444444 0.12 0.002 0.999999555957749
0.257 0.243444444444444 0.12 0.002 0.999999554315764
0.258 0.243444444444444 0.12 0.002 0.99999955267378
0.259 0.243444444444444 0.12 0.002 0.999999551031796
0.26 0.243444444444444 0.12 0.002 0.999999549389811
0.261 0.243444444444444 0.12 0.002 0.999999547747827
0.262 0.243444444444444 0.12 0.002 0.999999546105843
0.263 0.243444444444444 0.12 0.002 0.999999544463858
0.264 0.243444444444444 0.12 0.002 0.999999542821874
0.265 0.243444444444444 0.12 0.002 0.99999954117989
0.266 0.243444444444444 0.12 0.002 0.999999539537905
0.267 0.243444444444444 0.12 0.002 0.999999537895921
0.268 0.243444444444444 0.12 0.002 0.999999536253937
0.269 0.243444444444444 0.12 0.002 0.999999534611952
0.27 0.243444444444444 0.12 0.002 0.999999532969968
0.271 0.243444444444444 0.12 0.002 0.999999531327984
0.272 0.243444444444444 0.12 0.002 0.999999529685999
0.273 0.243444444444444 0.12 0.002 0.999999528044015
0.274 0.290206897279365 0.0019999999999999 0.16 0.999999526402031
0.275 0.243444444444444 0.002 0.16 0.999999524760046
0.276 0.243444444444444 0.002 0.16 0.999999522996632
0.277 0.243444444444444 0.002 0.16 0.999999521023371
0.278 0.243444444444444 0.002 0.16 0.999999519050126
0.279 0.243444444444444 0.002 0.16 0.999999517165306
0.28 0.243444444444444 0.002 0.16 0.99999951528048
0.281 0.243444444444444 0.002 0.16 0.999999513395654
0.282 0.243444444444444 0.002 0.16 0.999999511510827
0.283 0.243444444444444 0.002 0.16 0.999999509626001
0.284 0.243444444444444 0.002 0.16 0.999999507741175
0.285 0.243444444444444 0.002 0.16 0.999999505856349
0.286 0.243444444444444 0.002 0.16 0.999999503971523
0.287 0.243444444444444 0.002 0.16 0.999999502086697
0.288 0.243444444444444 0.002 0.16 0.99999950020187
0.289 0.243444444444444 0.002 0.16 0.999999498317044
0.29 0.243444444444444 0.002 0.16 0.999999496432218
0.291 0.243444444444444 0.002 0.16 0.999999494547392
0.292 0.243444444444444 0.002 0.16 0.999999492662566
0.293 0.243444444444444 0.002 0.16 0.999999490777739
0.294 0.243444444444444 0.002 0.16 0.999999488892913
0.295 0.243444444444444 0.002 0.16 0.999999487008087
0.296 0.243444444444444 0.002 0.16 0.999999485123261
0.297 0.243444444444444 0.002 0.16 0.999999483238435
0.298 0.243444444444444 0.002 0.16 0.999999481353608
0.299 0.243444444444444 0.002 0.16 0.999999479468782
0.3 0.243444444444444 0.002 0.16 0.999999477583956
0.301 0.243444444444444 0.002 0.16 0.99999947569913
0.302 0.243444444444444 0.002 0.16 0.999999473814304
0.303 0.243444444444444 0.002 0.16 0.999999471929478
0.304 0.288058949387202 0.12 0.00199999999999986 0.999999470044651
0.305 0.243444444444444 0.12 0.002 0.999999468159825
0.306 0.243444444444444 0.12 0.002 0.999999466396428
0.307 0.243444444444444 0.12 0.002 0.999999464670315
0.308 0.243444444444444 0.12 0.002 0.999999462944199
0.309 0.243444444444444 0.12 0.002 0.99999946130222
0.31 0.243444444444444 0.12 0.002 0.999999459660236
0.311 0.243444444444444 0.12 0.002 0.999999458018252
0.312 0.243444444444444 0.12 0.002 0.999999456376267
0.313 0.243444444444444 0.12 0.002 0.999999454734283
0.314 0.243444444444444 0.12 0.002 0.999999453092299
0.315 0.243444444444444 0.12 0.002 0.999999451450314
0.316 0.243444444444444 0.12 0.002 0.99999944980833
0.317 0.243444444444444 0.12 0.002 0.999999448166346
0.318 0.243444444444444 0.12 0.002 0.999999446524362
0.319 0.243444444444444 0.12 0.002 0.999999444882378
0.32 0.243444444444444 0.12 0.002 0.999999443240393
0.321 0.243444444444444 0.12 0.002 0.999999441598409
0.322 0.243444444444444 0.12 0.002 0.999999439956425
0.323 0.243444444444444 0.12 0.002 0.999999438314441
0.324 0.243444444444444 0.12 0.002 0.999999436672456
0.325 0.243444444444444 0.12 0.002 0.999999435030472
0.326 0.243444444444444 0.12 0.002 0.999999433388488
0.327 0.243444444444444 0.12 0.002 0.999999431746504
0.328 0.243444444444444 0.12 0.002 0.99999943010452
0.329 0.243444444444444 0.12 0.002 0.999999428462535
0.33 0.243444444444444 0.12 0.002 0.999999426820551
0.331 0.243444444444444 0.12 0.002 0.999999425178567
0.332 0.243444444444444 0.12 0.002 0.999999423536583
0.333 0.243444444444444 0.12 0.002 0.999999421894599
0.334 0.250859751089151 0.0019999999999999 0.002 0.999999420252614
0.335 0.290054120204841 0.002 0.16 0.99999941861063
0.336 0.243444444444444 0.002 0.16 0.999999417324979
0.337 0.243444444444444 0.002 0.16 0.99999941590386
