%time SoC_Batt I_Tot_Bus I_to_Batt Air Temp Meth Mic CPU RF
270 0.8134511334 48.209 34.0475322721 48.2 0.002 0.002 0.002 0.002 0.001
271 0.81181423281 0.309 34.0475322721 0.002 0.3 0.002 0.002 0.002 0.001
272 0.81017733222 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
273 0.810167715676 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
274 0.810158099132 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
275 0.810148482589 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
276 0.810138866045 0.309 0.200024109214 0.002 0.3 0.002 0.002 0.002 0.001
277 0.810129249501 18.009 0.200024109214 0.002 0.002 18 0.002 0.002 0.001
278 0.810119632958 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
279 0.809505879806 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
280 0.808892126654 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
281 0.808278373502 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
282 0.80766462035 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
283 0.807050867199 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
284 0.806437114047 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
285 0.805823360895 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
286 0.805209607743 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
287 0.804595854591 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
288 0.80398210144 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
289 0.803368348288 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
290 0.802754595136 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
291 0.802140841984 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
292 0.801527088833 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
293 0.800913335681 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
294 0.800299582529 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
295 0.799685829377 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
296 0.799072076225 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
297 0.798458323074 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
298 0.797844569922 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
299 0.79723081677 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
300 0.796617063618 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
301 0.796003310466 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
302 0.795389557315 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
303 0.794775804163 18.009 12.7660655571 0.002 0.002 18 0.002 0.002 0.001
