%time Master_Adderess Master_Data Bus_Data
26280 101 1 1
26310 201 1 1
26316 301 1 1
26346 401 1 1
26364 501 1 1
26400 101 1 1
26430 201 1 1
26436 301 1 1
26466 401 1 1
26484 501 1 1
26520 101 1 1
26550 201 1 1
26556 301 1 1
26586 401 1 1
26604 501 1 1
26640 101 1 1
26670 201 1 1
26676 301 1 1
26706 401 1 1
26724 501 1 1
26760 101 1 1
26790 201 1 1
26796 301 1 1
26826 401 1 1
26844 501 1 1
26880 101 1 1
26910 201 1 1
26916 301 1 1
26946 401 1 1
26964 501 1 1
27000 101 1 1
27030 201 1 1
27036 301 1 1
27066 401 1 1
27084 501 1 1
27120 101 1 1
27150 201 1 1
27156 301 1 1
27186 401 1 1
27204 501 1 1
27240 101 1 1
27270 201 1 1
27276 301 1 1
27306 401 1 1
27324 501 1 1
27360 101 1 1
27390 201 1 1
27396 301 1 1
27426 401 1 1
27444 501 1 1
27480 101 1 1
27510 201 1 1
27516 301 1 1
27546 401 1 1
27564 501 1 1
27600 101 1 1
27630 201 1 1
27636 301 1 1
27666 401 1 1
27684 501 1 1
27720 101 1 1
27750 201 1 1
27756 301 1 1
27786 401 1 1
27804 501 1 1
27840 101 1 1
27870 201 1 1
27876 301 1 1
27906 401 1 1
27924 501 1 1
27960 101 1 1
27990 201 1 1
27996 301 1 1
28026 401 1 1
28044 501 1 1
28080 101 1 1
28110 201 1 1
28116 301 1 1
28146 401 1 1
28164 501 1 1
28200 101 1 1
28230 201 1 1
28236 301 1 1
28266 401 1 1
28284 501 1 1
28320 101 1 1
28350 201 1 1
28356 301 1 1
28386 401 1 1
28404 501 1 1
28440 101 1 1
28470 201 1 1
28476 301 1 1
28506 401 1 1
28524 501 1 1
28560 101 1 1
28590 201 1 1
28596 301 1 1
28626 401 1 1
28644 501 1 1
28680 101 1 1
28710 201 1 1
28716 301 1 1
28746 401 1 1
28764 501 1 1
28800 101 1 1
28830 201 1 1
28836 301 1 1
28866 401 1 1
28884 501 1 1
28920 101 1 1
28950 201 1 1
28956 301 1 1
28986 401 1 1
29004 501 1 1
29040 101 1 1
29070 201 1 1
29076 301 1 1
29106 401 1 1
29124 501 1 1
29160 101 1 1
29190 201 1 1
29196 301 1 1
29226 401 1 1
29244 501 1 1
29280 101 1 1
29310 201 1 1
29316 301 1 1
29346 401 1 1
29364 501 1 1
29400 101 1 1
29430 201 1 1
29436 301 1 1
29466 401 1 1
29484 501 1 1
29520 101 1 1
29550 201 1 1
29556 301 1 1
29586 401 1 1
29604 501 1 1
29640 101 1 1
29670 201 1 1
29676 301 1 1
29706 401 1 1
29724 501 1 1
29760 101 1 1
29790 201 1 1
29796 301 1 1
29826 401 1 1
29844 501 1 1
29880 101 1 1
29910 201 1 1
29916 301 1 1
29946 401 1 1
29964 501 1 1
30000 101 1 1
30030 201 1 1
30036 301 1 1
30066 401 1 1
30084 501 1 1
30120 101 1 1
30150 201 1 1
30156 301 1 1
30186 401 1 1
30204 501 1 1
30240 101 1 1
30270 201 1 1
30276 301 1 1
30306 401 1 1
30324 501 1 1
30360 101 1 1
30390 201 1 1
30396 301 1 1
30426 401 1 1
30444 501 1 1
30480 101 1 1
30510 201 1 1
30516 301 1 1
30546 401 1 1
30564 501 1 1
30600 101 1 1
30630 201 1 1
30636 301 1 1
30666 401 1 1
30684 501 1 1
30720 101 1 1
30750 201 1 1
30756 301 1 1
30786 401 1 1
30804 501 1 1
30840 101 1 1
30870 201 1 1
30876 301 1 1
30906 401 1 1
30924 501 1 1
30960 101 1 1
30990 201 1 1
30996 301 1 1
31026 401 1 1
31044 501 1 1
31080 101 1 1
31110 201 1 1
31116 301 1 1
31146 401 1 1
31164 501 1 1
31200 101 1 1
31230 201 1 1
31236 301 1 1
31266 401 1 1
31284 501 1 1
31320 101 1 1
31350 201 1 1
31356 301 1 1
31386 401 1 1
31404 501 1 1
31440 101 1 1
31470 201 1 1
31476 301 1 1
31506 401 1 1
31524 501 1 1
31560 101 1 1
31590 201 1 1
31596 301 1 1
31626 401 1 1
31644 501 1 1
31680 101 1 1
31710 201 1 1
31716 301 1 1
31746 401 1 1
31764 501 1 1
31800 101 1 1
31830 201 1 1
31836 301 1 1
31866 401 1 1
31884 501 1 1
31920 101 1 1
31950 201 1 1
31956 301 1 1
31986 401 1 1
32004 501 1 1
32040 101 1 1
32070 201 1 1
32076 301 1 1
32106 401 1 1
32124 501 1 1
32160 101 1 1
32190 201 1 1
32196 301 1 1
32226 401 1 1
32244 501 1 1
32280 101 1 1
32310 201 1 1
32316 301 1 1
32346 401 1 1
32364 501 1 1
32400 101 1 1
32430 201 1 1
32436 301 1 1
32466 401 1 1
32484 501 1 1
32520 101 1 1
32550 201 1 1
32556 301 1 1
32586 401 1 1
32604 501 1 1
32640 101 1 1
32670 201 1 1
32676 301 1 1
32706 401 1 1
32724 501 1 1
32760 101 1 1
32790 201 1 1
32796 301 1 1
32826 401 1 1
32844 501 1 1
32880 101 1 1
32910 201 1 1
32916 301 1 1
32946 401 1 1
32964 501 1 1
33000 101 1 1
33030 201 1 1
33036 301 1 1
33066 401 1 1
33084 501 1 1
33120 101 1 1
33150 201 1 1
33156 301 1 1
33186 401 1 1
33204 501 1 1
33240 101 1 1
33270 201 1 1
33276 301 1 1
33306 401 1 1
33324 501 1 1
33360 101 1 1
33390 201 1 1
33396 301 1 1
33426 401 1 1
33444 501 1 1
33480 101 1 1
33510 201 1 1
33516 301 1 1
33546 401 1 1
33564 501 1 1
33600 101 1 1
33630 201 1 1
33636 301 1 1
33666 401 1 1
33684 501 1 1
33720 101 1 1
33750 201 1 1
33756 301 1 1
33786 401 1 1
33804 501 1 1
33840 101 1 1
33870 201 1 1
33876 301 1 1
33906 401 1 1
33924 501 1 1
33960 101 1 1
33990 201 1 1
33996 301 1 1
34026 401 1 1
34044 501 1 1
34080 101 1 1
34110 201 1 1
34116 301 1 1
34146 401 1 1
34164 501 1 1
34200 101 1 1
34230 201 1 1
34236 301 1 1
34266 401 1 1
34284 501 1 1
34320 101 1 1
34350 201 1 1
34356 301 1 1
34386 401 1 1
34404 501 1 1
34440 101 1 1
34470 201 1 1
34476 301 1 1
34506 401 1 1
34524 501 1 1
34560 101 1 1
34590 201 1 1
34596 301 1 1
34626 401 1 1
34644 501 1 1
34680 101 1 1
34710 201 1 1
34716 301 1 1
34746 401 1 1
34764 501 1 1
34800 101 1 1
34830 201 1 1
34836 301 1 1
34866 401 1 1
34884 501 1 1
34920 101 1 1
34950 201 1 1
34956 301 1 1
34986 401 1 1
35004 501 1 1
35040 101 1 1
35070 201 1 1
35076 301 1 1
35106 401 1 1
35124 501 1 1
35160 101 1 1
35190 201 1 1
35196 301 1 1
35226 401 1 1
35244 501 1 1
35280 101 1 1
35310 201 1 1
35316 301 1 1
35346 401 1 1
35364 501 1 1
35400 101 1 1
35430 201 1 1
35436 301 1 1
35466 401 1 1
35484 501 1 1
35520 101 1 1
35550 201 1 1
35556 301 1 1
35586 401 1 1
35604 501 1 1
35640 101 1 1
35670 201 1 1
35676 301 1 1
35706 401 1 1
35724 501 1 1
35760 101 1 1
35790 201 1 1
35796 301 1 1
35826 401 1 1
35844 501 1 1
35880 101 1 1
35910 201 1 1
35916 301 1 1
35946 401 1 1
35964 501 1 1
36000 101 1 1
36030 201 1 1
36036 301 1 1
36066 401 1 1
36084 501 1 1
36120 101 1 1
36150 201 1 1
36156 301 1 1
36186 401 1 1
36204 501 1 1
36240 101 1 1
36270 201 1 1
36276 301 1 1
36306 401 1 1
36324 501 1 1
36360 101 1 1
36390 201 1 1
36396 301 1 1
36426 401 1 1
36444 501 1 1
36480 101 1 1
36510 201 1 1
36516 301 1 1
36546 401 1 1
36564 501 1 1
36600 101 1 1
36630 201 1 1
36636 301 1 1
36666 401 1 1
36684 501 1 1
36720 101 1 1
36750 201 1 1
36756 301 1 1
36786 401 1 1
36804 501 1 1
36840 101 1 1
36870 201 1 1
36876 301 1 1
36906 401 1 1
36924 501 1 1
36960 101 1 1
36990 201 1 1
36996 301 1 1
37026 401 1 1
37044 501 1 1
37080 101 1 1
37110 201 1 1
37116 301 1 1
37146 401 1 1
37164 501 1 1
